filename,domain,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9,config_10,config_11,config_12,best_config
doc_13.txt,Technical_Documentation,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,config_4
doc_14.txt,Technical_Documentation,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.36363636363636365,0.8181818181818182,0.5454545454545454,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,config_3
doc_15.txt,Technical_Documentation,0.9,0.9,0.9,0.8,0.3,0.7,0.4,0.8,0.9,0.9,0.9,0.9,config_1
doc_16.txt,Technical_Documentation,0.6,0.8,0.8,0.6,0.1,0.8,0.3,0.7,0.9,0.9,0.9,0.9,config_9
doc_17.txt,Technical_Documentation,0.8,0.9,0.8,0.8,0.1,0.9,0.2,0.9,0.9,0.9,0.9,0.9,config_2
doc_18.txt,Technical_Documentation,0.2,0.1,0.1,0.2,0.0,0.1,0.0,0.2,0.2,0.2,0.2,0.2,config_1
doc_19.txt,Technical_Documentation,0.5454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_2
doc_20.txt,Technical_Documentation,0.7,0.7,0.9,0.8,0.6,0.8,0.6,0.9,1.0,1.0,1.0,1.0,config_9
doc_21.txt,Technical_Documentation,0.7,0.5,0.7,0.8,0.6,0.7,0.6,0.8,0.9,0.9,0.9,0.9,config_9
doc_22.txt,Technical_Documentation,0.6,0.3,0.5,0.5,0.8,0.6,0.8,0.7,0.6,0.7,0.5,0.7,config_5
doc_23.txt,Technical_Documentation,0.9,0.7,0.7,0.8,0.5,0.6,0.3,0.8,0.9,0.9,0.9,0.9,config_1
doc_24.txt,Technical_Documentation,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.2,0.0,0.1,config_1
doc_25.txt,Technical_Documentation,1.0,0.9,0.9,0.9,0.3,0.9,0.3,1.0,1.0,1.0,1.0,1.0,config_1
doc_26.txt,Technical_Documentation,0.5,0.6,0.5,0.6,0.2,0.6,0.3,0.6,0.6,0.6,0.6,0.6,config_2
doc_27.txt,Technical_Documentation,0.9,0.6,0.7,1.0,0.4,0.7,0.3,0.9,1.0,1.0,1.0,1.0,config_4
doc_28.txt,Technical_Documentation,0.7,0.5,0.7,0.6,0.8,0.6,0.7,0.7,0.2,0.9,0.3,0.8,config_10
doc_29.txt,Technical_Documentation,0.9,0.8,0.9,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_6
doc_30.txt,Technical_Documentation,0.8,0.6,0.9,0.8,0.6,0.7,0.7,0.9,0.9,0.9,0.9,0.9,config_3
