feature,f_score,p_value
sbert_1,1.0120772338973294,0.43334348001025963
sbert_300,1.011136946662046,0.4340917399568661
sbert_164,1.0043722359463592,0.4394963494533089
sbert_130,1.0029539763248156,0.4406341914435061
sbert_258,0.9963046455046035,0.4459904753876891
sbert_23,0.9960483517435436,0.4461976396446481
sbert_52,0.9902084947597795,0.45093218573247085
sbert_335,0.9871574746404813,0.45341643755280714
sbert_146,0.9854257206347947,0.4548297333117961
sbert_295,0.9826893886270304,0.45706762203378715
sbert_10,0.9826196809769187,0.4571247076189455
sbert_21,0.9805082650764045,0.4588555811458219
sbert_216,0.9792291070829238,0.4599058616658125
sbert_167,0.9786378906319836,0.46039171615017394
sbert_263,0.97450064806188,0.46379910055091145
sbert_235,0.9737949200841628,0.46438162471642586
sbert_136,0.9667396962382617,0.4702256818811641
sbert_43,0.9652668012592521,0.47145038914615145
sbert_133,0.9651179455843831,0.4715742509949764
sbert_199,0.9643208474318951,0.47223778807466577
sbert_48,0.9592227547418599,0.4764926144008208
sbert_4,0.9585555593155817,0.477050844033458
sbert_302,0.9569511202013856,0.4783945577582571
sbert_345,0.9552941922791883,0.479784165054012
sbert_287,0.949169433512935,0.48493766751076783
sbert_269,0.9430376905137741,0.4901232414332415
sbert_245,0.9423921737820553,0.4906706519860099
sbert_168,0.937899861390929,0.49448802915874246
sbert_6,0.9377049343585828,0.4946539769770334
sbert_76,0.9338328878831758,0.49795561135967004
sbert_24,0.9271665423210853,0.5036629114801403
sbert_188,0.9256324646673202,0.5049803423422043
sbert_342,0.9224929246177678,0.507681155907362
sbert_247,0.9215019693948944,0.5085349185305177
sbert_128,0.9205205882070608,0.5093810359123534
sbert_227,0.9193954258532095,0.5103518523588711
sbert_264,0.9158171546490798,0.5134444433081433
sbert_193,0.9156649457742113,0.5135761660503095
sbert_153,0.9127653814984187,0.5160881424864427
sbert_304,0.9118194372707593,0.5169087321482604
sbert_242,0.9098258922433798,0.5186398368561131
sbert_102,0.9055089244564722,0.5223964868836733
sbert_292,0.9052503890789642,0.5226218088117714
sbert_305,0.9040223190891248,0.523692635308554
sbert_298,0.8905856793164468,0.5354638225313358
sbert_382,0.8891178935094227,0.5367555939628069
sbert_257,0.8865974665262291,0.5389763976512982
sbert_312,0.8820803512284648,0.5429646673634851
sbert_172,0.8665841938091994,0.5567219715981202
sbert_182,0.8616232847656774,0.5611493644605845
sbert_89,0.8560997749393018,0.5660911431357101
sbert_229,0.8537595809231459,0.5681886259609681
sbert_364,0.8509304916139415,0.5707271830742786
sbert_282,0.836295792999091,0.5839060500039579
sbert_110,0.8342859344573872,0.5857216949193147
sbert_91,0.8306177955171724,0.5890386521444807
sbert_320,0.8280832125192981,0.5913329576669758
sbert_333,0.827565306337346,0.5918019982960712
sbert_296,0.8274186597985009,0.5919348224853905
sbert_143,0.8269075889513732,0.5923977699504019
sbert_74,0.8262642513464564,0.592980635553325
sbert_209,0.8118773976927375,0.6060435486773189
sbert_232,0.8101404473530763,0.6076239877581529
sbert_252,0.8080851536555685,0.6094949060593688
sbert_79,0.8027375188084477,0.6143667104128819
sbert_163,0.8001354744136789,0.6167391004391927
sbert_108,0.7973900337385601,0.6192434388579401
sbert_293,0.7946564862126128,0.6217380658071634
sbert_80,0.793101913750537,0.6231572327755786
sbert_191,0.7929984893111517,0.6232516602611144
sbert_356,0.7861866800343036,0.6294737341992522
sbert_138,0.7821894279435476,0.6331271334762847
sbert_120,0.7817462261047112,0.6335322926436784
sbert_214,0.7808023443523453,0.6343952044683352
sbert_54,0.7801199631551726,0.6350190880080828
sbert_307,0.7735861158238923,0.6409941820653535
sbert_278,0.7692804677934908,0.6449325237913313
sbert_353,0.7687369204861444,0.6454297273944729
sbert_270,0.7671521704615992,0.646879372800192
sbert_217,0.7650661029155778,0.64878760012904
sbert_253,0.7634584092521134,0.6502582109471411
sbert_106,0.7619052650125798,0.6516788807678544
sbert_272,0.7562934910297571,0.6568113421045083
sbert_261,0.7557955602254057,0.6572666731504044
sbert_226,0.7542156768968046,0.6587112933286591
sbert_215,0.7453660859893199,0.6667995445389805
